order_id,order_date,year,quarter,month_name,day_name,customer_id,customer_name,age,age_group,gender,region,city,product_category,product_name,quantity,unit_price,discount_pct,discount_group,sales_amount,profit_margin,profit,shipping_cost,payment_method,customer_satisfaction,return_flag,order_status,days_to_ship
ORD-02727,28/03/2023,2023,Q1,March,Tuesday,CUST68233,Rahul Joshi,22,Young Adult,Female,Central,Nagpur,Books,Comic Book,6,1467.54,0.29,High,7477.88,48%,3606.99,50.88,UPI,,FALSE,Delivered,4
ORD-02986,17/07/2023,2023,Q3,July,Monday,CUST62795,Arjun Chatterjee,3,Child & Teen,Male,South,Bangalore,Books,Self-Help Book,,478.05,0.02,Low,621.35,47%,290.9,63.7,Cash on Delivery,2,FALSE,Delivered,7
ORD-04158,12/10/2024,2024,Q4,October,Saturday,CUST75042,Pooja Verma,44,Adult,Female,Central,Nagpur,Books,Self-Help Book,7,612.7,0.22,High,3224.82,31%,991.03,55.8,Credit Card,5,FALSE,Delivered,4
ORD-03913,17/08/2024,2024,Q3,August,Saturday,CUST83779,Nikhil Bhat,31,Young Adult,Other,West,Surat,Sports,Football,9,3000.32,0.21,High,29267.25,22%,6330.95,68.5,UPI,4,FALSE,Delivered,9
ORD-01473,25/10/2021,2021,Q4,October,Monday,CUST33809,Sanjay Reddy,31,Young Adult,Other,West,Surat,Groceries,Cooking Oil,2,233.12,0.28,High,322.86,7%,21.37,57.3,Cash on Delivery,3,FALSE,Delivered,7
ORD-03795,07/07/2024,2024,Q3,July,Sunday,CUST28954,Nikhil Bose,35,Young Adult,Female,Central,Bhopal,Clothing,T-Shirt,2,735.25,0.03,Low,2477.72,32%,795.65,74.95,UPI,5,FALSE,Delivered,8
ORD-01275,28/07/2021,2021,Q3,July,Wednesday,CUST94413,Rahul Gupta,35,Young Adult,Male,Central,Indore,Electronics,Laptop,9,63147.82,0.14,Medium,671607.78,13%,86070.79,60.5,Cash on Delivery,4,TRUE,Returned,3
ORD-00412,07/01/2020,2020,Q1,January,Tuesday,CUST88814,Rahul Kapoor,51,Adult,Other,West,Ahmedabad,Books,Comic Book,8,635.66,0.34,Very High,3704.84,34%,1269.07,67.01,Cash on Delivery,1,FALSE,Delivered,3
ORD-01848,29/03/2022,2022,Q1,March,Tuesday,CUST43339,Arjun Pillai,28,Young Adult,Male,South,Kochi,Sports,Cricket Bat,7,6478.95,0.22,High,43346.6,19%,8443.99,69.59,EMI,1,FALSE,Delivered,2
ORD-02684,03/10/2023,2023,Q4,October,Tuesday,CUST32875,Kavya Patel,41,Adult,Male,South,Kochi,Beauty,Hair Oil,3,1290.21,0.12,Medium,3690.09,48%,1777.76,64.97,Cash on Delivery,3,FALSE,Delivered,5
ORD-00936,27/02/2021,2021,Q1,February,Saturday,CUST82575,Kavya Pillai,29,Young Adult,Female,Central,Nagpur,Furniture,Bookshelf,1,33537.06,0.25,High,24565.06,24%,5814.79,56.47,Debit Card,4,FALSE,Delivered,2
ORD-03422,23/01/2024,2024,Q1,January,Tuesday,CUST58923,Deepa Pillai,2,Child & Teen,Male,East,Guwahati,Electronics,Headphones,3,64874.09,0.02,Low,177754.39,11%,20320.94,79.56,UPI,1,FALSE,Delivered,7
ORD-01505,11/06/2021,2021,Q2,June,Friday,CUST41623,Vikram Pillai,65,Senior,Other,North,Chandigarh,Books,Comic Book,4,1350.95,0.21,High,3635.51,51%,1854.28,44.83,Credit Card,3,FALSE,Delivered,2
ORD-04045,22/10/2024,2024,Q4,October,Tuesday,CUST10094,Rahul Sharma,26,Young Adult,Other,North,Amritsar,Electronics,Camera,3,68799.42,0.07,Low,232621.97,16%,36091.77,48.01,UPI,1,FALSE,delivered,7
ORD-02565,17/01/2023,2023,Q1,January,Tuesday,CUST71120,Ritu Nair,35,Young Adult,Male,North,Amritsar,Furniture,Sofa,3,31242.32,0.01,Low,92924.36,29%,27403.47,52.73,Debit Card,3,TRUE,Returned,4
ORD-02031,14/06/2022,2022,Q2,June,Tuesday,CUST13864,Amit Kumar,3,Child & Teen,Other,Central,Bhopal,Books,Comic Book,,1431.29,0.04,Low,1929.4,42%,819.7,70.38,Credit Card,5,TRUE,Returned,8
ORD-03773,30/06/2024,2024,Q2,June,Sunday,CUST34644,Ananya Patel,27,Young Adult,Male,South,Bangalore,Clothing,Jeans,3,1621.83,0.4,Very High,4851.55,37%,1799.06,67.23,Credit Card,2,FALSE,Delivered,4
ORD-00025,01/10/2020,2020,Q4,October,Thursday,CUST91373,Karan Iyer,52,Adult,Female,West,Mumbai,Books,Cook Book,10,324.41,0.32,Very High,1810.18,50%,903.99,48.24,UPI,3,FALSE,Delivered,4
ORD-02868,31/05/2023,2023,Q2,May,Wednesday,CUST17518,Sanjay Shah,42,Adult,Female,Central,Indore,Furniture,Wardrobe,6,20242.36,0.04,Low,191398.26,31%,59116.34,83.75,Credit Card,2,FALSE,Delivered,9
ORD-01993,30/05/2022,2022,Q2,May,Monday,CUST20457,Vikram Kumar,4,Child & Teen,Other,North,Ludhiana,Sports,Tennis Racket,9,14422.23,0.21,High,145427.41,28%,40739.98,58.92,EMI,5,FALSE,Delivered,1
ORD-00415,07/01/2020,2020,Q1,January,Tuesday,CUST39948,Nikhil Kapoor,,,Female,North,Chandigarh,Furniture,Desk,2,33115.91,0.28,High,53911.88,25%,13232.77,39.83,EMI,5,FALSE,Delivered,1
ORD-02867,31/05/2023,2023,Q2,May,Wednesday,CUST70575,Aditya Reddy,49,Adult,Female,North,Amritsar,Sports,Cricket Bat,8,3917.74,0.27,High,36596.17,31%,11271.87,60.71,Cash on Delivery,,FALSE,Delivered,8
ORD-00757,12/09/2020,2020,Q3,September,Saturday,CUST29818,Meera Gupta,,,Female,South,Kochi,Furniture,Bookshelf,4,11267.5,0.2,Medium,24230.41,30%,7321.53,70.73,UPI,4,FALSE,Delivered,1
ORD-03357,23/12/2023,2023,Q4,December,Saturday,CUST53286,Kavya Verma,34,Young Adult,Male,East,Patna,Beauty,Face Cream,5,2497.1,0.37,Very High,6596.23,40%,2649.2,61.27,Cash on Delivery,1,FALSE,Shipped,5
ORD-02282,18/09/2022,2022,Q3,September,Sunday,CUST94046,Ananya Nair,38,Adult,Other,Central,Raipur,Electronics,Camera,5,11463.02,0.34,Very High,44107,8%,3355.55,36.32,Cash on Delivery,5,FALSE,Delivered,10
ORD-04111,22/11/2024,2024,Q4,November,Friday,CUST99588,Meera Kumar,57,Senior,Female,Central,Indore,Books,Comic Book,7,785.67,0.12,Medium,4582.79,44%,2037.5,63.64,Credit Card,3,FALSE,Delivered,2
ORD-00707,16/11/2020,2020,Q4,November,Monday,CUST43806,Nikhil Reddy,36,Adult,Female,North,Ludhiana,Clothing,Jeans,2,1557.26,0.13,Medium,1859.03,45%,840.29,50.66,EMI,2,FALSE,Delivered,10
ORD-01870,04/05/2022,2022,Q2,May,Wednesday,CUST73941,Aditya Mehta,48,Adult,Male,East,Bhubaneswar,Groceries,Cooking Oil,2,393.55,0.02,Low,1057.65,8%,87.14,87.03,Debit Card,1,FALSE,Delivered,1
ORD-01047,20/04/2021,2021,Q2,April,Tuesday,CUST61067,Meera Chatterjee,34,Young Adult,Female,North,Ludhiana,Sports,Football,5,8244.31,0.12,Medium,49710.43,28%,13744.26,51.59,Cash on Delivery,1,FALSE,Delivered,4
ORD-01968,20/05/2022,2022,Q2,May,Friday,CUST46310,Sanjay Kapoor,28,Young Adult,Male,East,Guwahati,Books,Comic Book,5,1063.62,0.16,Medium,6991.06,42%,2963.48,62.28,UPI,,FALSE,Delivered,5
ORD-03033,08/05/2023,2023,Q2,May,Monday,CUST52453,Vikram Shah,34,Young Adult,Other,North,Amritsar,Groceries,Sugar,7,315.62,0.28,High,2026.01,5%,104.43,72.63,Credit Card,5,FALSE,Delivered,7
ORD-02831,17/05/2023,2023,Q2,May,Wednesday,CUST55922,Aditya Pillai,51,Adult,Female,West,Ahmedabad,Beauty,Lipstick,1,697.15,0.18,Medium,867.37,39%,335.66,48.84,Debit Card,3,FALSE,Pending,10
ORD-00489,08/03/2020,2020,Q1,March,Sunday,CUST85726,Ritu Verma,34,Young Adult,Male,Central,Raipur,Electronics,Tablet,2,52363.15,0.25,High,89225.91,16%,14474.33,45.26,Net Banking,2,FALSE,Pending,9
ORD-00364,06/04/2020,2020,Q2,April,Monday,CUST12024,Shreya Kumar,37,Adult,Male,West,Surat,Sports,Football,3,2684.91,0.15,Medium,9541.81,27%,2543.29,67.28,Net Banking,2,FALSE,Delivered,9
ORD-03081,22/08/2023,2023,Q3,August,Tuesday,CUST01739,Rohan Nair,42,Adult,Female,North,Amritsar,Books,Fiction Novel,4,889.6,0.36,Very High,3597.1,30%,1076.91,58.16,Credit Card,3,TRUE,Returned,3
ORD-00357,06/02/2020,2020,Q1,February,Thursday,CUST75375,Priya Joshi,41,Adult,Female,Central,Nagpur,Clothing,Jeans,2,1548.43,0.38,Very High,2480.54,35%,866.5,49.01,EMI,1,FALSE,Delivered,45
ORD-03752,22/06/2024,2024,Q2,June,Saturday,CUST35687,Deepa Nair,42,Adult,Other,West,Surat,Books,Comic Book,1,787.78,0.15,Medium,1146.29,45%,520.99,47.1,Credit Card,2,FALSE,Delivered,9
ORD-00117,02/12/2020,2020,Q4,December,Wednesday,CUST33188,Sanjay Joshi,48,Adult,Female,South,Kochi,Sports,Cycle,3,6047.51,0.08,Low,13365.94,21%,2741.49,36.15,Debit Card,4,FALSE,Delivered,3
ORD-00225,08/04/2020,2020,Q2,April,Wednesday,CUST97307,Ritu Gupta,37,Adult,Male,Central,Nagpur,Sports,Tennis Racket,1,5935.12,0.08,Low,6293.66,19%,1165.63,47.97,Credit Card,5,FALSE,Delivered,7
ORD-01273,28/07/2021,2021,Q3,July,Wednesday,CUST00699,Shreya Nair,51,Adult,Female,West,Pune,Books,Textbook,,1490.57,0.13,Medium,1761.29,52%,922.64,65.57,EMI,1,FALSE,Delivered,7
ORD-01912,25/04/2022,2022,Q2,April,Monday,CUST02114,Ananya Verma,,,Male,South,Chennai,Clothing,T-Shirt,2,1244.43,0.23,High,2660.47,40%,1061.94,75.05,Net Banking,5,FALSE,Delivered,2
ORD-02247,09/07/2022,2022,Q3,July,Saturday,CUST68290,Karan Kapoor,38,Adult,Other,North,Chandigarh,Furniture,Chair,2,22082.21,,,51389.35,19%,9844.24,70.14,Debit Card,1,FALSE,Pending,7
ORD-00966,17/03/2021,2021,Q1,March,Wednesday,CUST15832,Aarav Pillai,22,Young Adult,Other,East,Kolkata,Electronics,Laptop,4,11157.11,0.38,Very High,32774.69,12%,3797.24,55.14,Credit Card,1,TRUE,Returned,8
ORD-00879,02/02/2021,2021,Q1,February,Tuesday,CUST52790,Deepa Pillai,17,Child & Teen,Other,East,Kolkata,Books,Comic Book,7,914.96,0.36,Very High,3687.74,39%,1423.3,77.84,UPI,,FALSE,Delivered,5
ORD-01339,24/08/2021,2021,Q3,August,Tuesday,CUST94587,Aditya Gupta,32,Young Adult,Male,North,Chandigarh,Clothing,Jacket,5,1008.19,0.27,High,4205.92,33%,1377.84,53.22,UPI,1,FALSE,Delivered,4
ORD-03248,11/04/2023,2023,Q2,April,Tuesday,CUST43818,Arjun Bhat,3,Child & Teen,Male,South,Kochi,Clothing,Saree,7,2102.17,0.13,Medium,11565.64,29%,3358.13,62.02,Net Banking,,FALSE,Shipped,8
ORD-00099,02/08/2020,2020,Q3,August,Sunday,CUST15599,Karan Shah,33,Young Adult,Other,West,Pune,Furniture,Chair,9,22687.65,0.33,Very High,117568.37,28%,33050.92,45.04,Net Banking,,FALSE,Delivered,2
ORD-00849,21/01/2021,2021,Q1,January,Thursday,CUST59483,Nisha Shah,26,Young Adult,Other,North,Ludhiana,Electronics,Smartwatch,10,57148.46,0.06,Low,443615.41,11%,48368.13,33.07,EMI,1,TRUE,Returned,
ORD-02850,26/05/2023,2023,Q2,May,Friday,CUST30753,Deepa Chatterjee,28,Young Adult,Male,North,Chandigarh,Furniture,Bookshelf,,5493.74,0.2,Medium,6967.21,26%,1809.32,49,Credit Card,1,FALSE,Delivered,5
ORD-03177,10/05/2023,2023,Q2,May,Wednesday,CUST99258,Ananya Joshi,45,Adult,Other,Central,Raipur,Furniture,Sofa,2,7616.64,0.34,Very High,11304.13,32%,3661.21,29.23,Net Banking,4,FALSE,Delivered,1
ORD-02058,27/06/2022,2022,Q2,June,Monday,CUST44617,Nikhil Reddy,21,Young Adult,Other,South,Bangalore,Furniture,Desk,8,3549.62,0.22,High,30702.91,33%,10062.41,77.82,EMI,5,TRUE,Returned,5
ORD-03092,29/08/2023,2023,Q3,August,Tuesday,CUST21970,Rahul Verma,,,Other,East,Bhubaneswar,Electronics,Headphones,3,15632.25,0.34,Very High,44298.79,9%,4132.26,65.5,UPI,5,FALSE,Delivered,1
ORD-02241,09/04/2022,2022,Q2,April,Saturday,CUST64655,Kavya Patel,21,Young Adult,Female,East,Guwahati,Electronics,Headphones,4,41499.34,0,No Discount,175476.12,11%,19809.16,73.44,Debit Card,4,FALSE,Shipped,1
ORD-01278,31/07/2021,2021,Q3,July,Saturday,CUST65126,Arjun Mishra,48,Adult,Other,East,Bhubaneswar,Clothing,Kurta,,3288.5,0.01,Low,4673.02,32%,1513.25,103.27,Cash on Delivery,,FALSE,Delivered,4
ORD-03281,17/11/2023,2023,Q4,November,Friday,CUST21469,Shreya Nair,43,Adult,Other,North,Amritsar,Sports,Football,4,3010.43,0.27,High,8396.79,19%,1584.03,51.24,Cash on Delivery,3,FALSE,Delivered,
ORD-00011,01/03/2020,2020,Q1,March,Sunday,CUST64950,Nisha Mehta,23,Young Adult,Female,South,Hyderabad,Furniture,Sofa,8,22523.15,0.34,Very High,95036.79,31%,29818.97,65.72,EMI,2,FALSE,Delivered,5
ORD-00058,22/01/2020,2020,Q1,January,Wednesday,CUST60127,Ritu Kapoor,16,Child & Teen,Other,South,Bangalore,Books,Textbook,4,363.32,0.07,Low,1026.5,40%,410.28,89.93,EMI,5,FALSE,Shipped,5
ORD-02876,06/02/2023,2023,Q1,February,Monday,CUST23195,Aditya Sharma,34,Young Adult,Female,West,Surat,Furniture,Wardrobe,3,31229.73,0.32,Very High,100210.97,34%,34252.99,53.79,EMI,5,FALSE,Pending,3
ORD-02210,21/08/2022,2022,Q3,August,Sunday,CUST53700,Ananya Shah,49,Adult,Female,South,Chennai,Furniture,Chair,3,25395.64,0.3,High,82667.82,35%,28762.52,86.28,UPI,4,FALSE,Delivered,5
ORD-01057,22/04/2021,2021,Q2,April,Thursday,CUST83911,Aditya Das,27,Young Adult,Male,North,Chandigarh,Groceries,Dal (1kg),3,457.68,0.26,High,1159.07,7%,84.35,72.86,Cash on Delivery,3,FALSE,delivered,2
ORD-02900,06/07/2023,2023,Q3,July,Thursday,CUST23268,Deepa Das,31,Young Adult,Female,South,Chennai,Books,Self-Help Book,1,715.84,0.24,High,937.54,50%,470.99,59.5,Credit Card,2,FALSE,Delivered,4
ORD-04048,23/10/2024,2024,Q4,October,Wednesday,CUST20477,Sanjay Verma,,,Female,East,Guwahati,Sports,Football,4,9803,0.33,Very High,32120.84,19%,6215.4,88.57,UPI,4,FALSE,Cancelled,6
ORD-00402,21/06/2020,2020,Q2,June,Sunday,CUST55018,Vikram Nair,37,Adult,Other,South,Chennai,Electronics,Headphones,5,28892.57,0.07,Low,205453.46,12%,25286.68,84.72,Debit Card,5,FALSE,Delivered,6
ORD-01747,14/02/2022,2022,Q1,February,Monday,CUST14531,Meera Gupta,27,Young Adult,Male,North,Ludhiana,Furniture,Wardrobe,9,14001.85,0.05,Low,118164.26,34%,40660.47,55.44,UPI,1,TRUE,Returned,1
ORD-00593,22/09/2020,2020,Q3,September,Tuesday,CUST21963,Priya Bhat,38,Adult,Other,Central,Bhopal,Furniture,Wardrobe,8,30292.85,0.29,High,173004.24,26%,45465.04,51.64,EMI,,FALSE,Delivered,5
ORD-04017,10/03/2024,2024,Q1,March,Sunday,CUST02198,Meera Singh,34,Young Adult,Male,East,Kolkata,Sports,Tennis Racket,2,2854.89,0.06,Low,6360.16,19%,1203.75,86.84,UPI,3,FALSE,Delivered,9
ORD-02956,07/04/2023,2023,Q2,April,Friday,CUST64061,Rohan Pillai,1,Child & Teen,Other,South,Chennai,Clothing,T-Shirt,9,1340.2,0.38,Very High,12757.93,30%,3852.39,105.03,Cash on Delivery,3,FALSE,Cancelled,4
ORD-00634,10/11/2020,2020,Q4,November,Tuesday,CUST01277,Sanjay Iyer,22,Young Adult,Female,West,Surat,Furniture,Bookshelf,7,34455.92,0.28,High,149044.86,26%,39164.43,54.2,Debit Card,3,FALSE,Delivered,7
ORD-03084,25/08/2023,2023,Q3,August,Friday,CUST97761,Rahul Verma,25,Young Adult,Female,East,Bhubaneswar,Books,Self-Help Book,10,755.47,0.04,Low,10570.33,38%,4011.83,94.06,Credit Card,,FALSE,Cancelled,5
ORD-01699,28/01/2022,2022,Q1,January,Friday,CUST22943,Nisha Shah,42,Adult,Male,North,Amritsar,Sports,Tennis Racket,10,6054.48,0.06,Low,48184.42,20%,9832.73,59.24,Credit Card,1,TRUE,Returned,6
ORD-01353,09/01/2021,2021,Q1,January,Saturday,CUST45393,Shreya Reddy,42,Adult,Male,South,Hyderabad,Furniture,Desk,10,8753.12,0.28,High,73335.01,24%,17930.25,87.75,EMI,5,FALSE,Delivered,8
ORD-02391,11/01/2022,2022,Q1,January,Tuesday,CUST63245,Ananya Verma,29,Young Adult,Male,Central,Indore,Books,Textbook,4,1320.32,0.01,Low,4535.42,21%,950.65,39.09,Debit Card,3,FALSE,Delivered,5
ORD-00729,30/11/2020,2020,Q4,November,Monday,CUST88249,Karan Das,33,Young Adult,Female,West,Surat,Books,Cook Book,8,707.31,0.15,Medium,3730.16,44%,1635.73,65.92,Net Banking,4,FALSE,Delivered,9
ORD-03692,22/05/2024,2024,Q2,May,Wednesday,CUST93738,Rohan Gupta,,,Male,North,Delhi,Groceries,Dal (1kg),5,309.97,0.04,Low,2672.61,8%,214.05,37.34,Cash on Delivery,5,FALSE,Shipped,4
ORD-01385,18/09/2021,2021,Q3,September,Saturday,CUST85642,Priya Singh,42,Adult,Other,East,Kolkata,Sports,Cricket Bat,8,12223.45,0.4,Very High,62483.59,17%,10563.05,68.51,Net Banking,4,FALSE,delivered,7
ORD-02434,20/11/2022,2022,Q4,November,Sunday,CUST85190,Nikhil Patel,45,Adult,Other,West,Surat,Electronics,Tablet,4,73017.83,0.22,High,192150.99,12%,23288.67,32.14,Credit Card,3,FALSE,Delivered,8
ORD-00158,03/07/2020,2020,Q3,July,Friday,CUST56042,Deepa Rao,35,Young Adult,Female,East,Bhubaneswar,Furniture,Desk,8,25624.31,0.12,Medium,188109.47,24%,45753.79,65.63,Credit Card,1,FALSE,Delivered,3
ORD-00857,25/01/2021,2021,Q1,January,Monday,CUST59535,Vikram Gupta,49,Adult,Male,Central,Nagpur,Beauty,Hair Oil,4,521.44,0.14,Medium,1538.13,32%,492.45,50.42,UPI,1,FALSE,Pending,10
ORD-03406,15/01/2024,2024,Q1,January,Monday,CUST62905,Vikram Iyer,41,Adult,Other,Central,Raipur,Clothing,Saree,6,3871.22,0.33,Very High,16031.48,32%,5072.13,43.12,Debit Card,4,FALSE,Delivered,3
ORD-02843,24/05/2023,2023,Q2,May,Wednesday,CUST04791,Rahul Verma,24,Young Adult,Other,West,Mumbai,Books,Self-Help Book,8,579.77,0.36,Very High,3954.73,56%,2230.94,42.6,Debit Card,3,FALSE,Delivered,7
ORD-01014,04/04/2021,2021,Q2,April,Sunday,CUST62653,Nikhil Mishra,26,Young Adult,Male,North,Amritsar,Groceries,Cooking Oil,1,116.68,0.06,Low,118.23,8%,9.75,47.55,Credit Card,1,FALSE,Delivered,8
ORD-02991,19/07/2023,2023,Q3,July,Wednesday,CUST01027,Nikhil Reddy,,,Other,North,Delhi,Groceries,Rice (5kg),4,161.52,0.17,Medium,815.36,8%,66.15,45.84,Net Banking,4,FALSE,Cancelled,8
ORD-01087,05/06/2021,2021,Q2,June,Saturday,CUST29357,Meera Nair,33,Young Adult,Other,West,Pune,Books,Textbook,7,1042.98,0.3,High,7120.16,36%,2589.16,61.15,Debit Card,2,TRUE,Returned,4
ORD-00943,03/02/2021,2021,Q1,February,Wednesday,CUST48937,Nisha Iyer,14,Child & Teen,Female,Central,Indore,Clothing,Jeans,3,3314.25,0.1,Low,9673.58,39%,3783,52.17,UPI,,FALSE,Shipped,8
ORD-03731,15/06/2024,2024,Q2,June,Saturday,CUST46976,Nikhil Sharma,11,Child & Teen,Male,East,Patna,Electronics,Tablet,3,48747.69,0.29,High,172382.02,13%,22319.7,42.24,Net Banking,5,FALSE,Delivered,6
ORD-02485,14/12/2022,2022,Q4,December,Wednesday,CUST69585,Sunita Joshi,12,Child & Teen,Male,West,Ahmedabad,Books,Cook Book,9,1471.74,0.05,Low,10167.9,53%,5411.76,50.89,Cash on Delivery,4,FALSE,Delivered,7
ORD-02773,16/04/2023,2023,Q2,April,Sunday,CUST69945,Rahul Das,36,Adult,Male,West,Surat,Electronics,Laptop,8,27632.84,0.08,Low,295286.41,11%,33436.12,20.29,Net Banking,3,FALSE,Delivered,7
ORD-01093,05/08/2021,2021,Q3,August,Thursday,CUST80149,Pooja Mishra,37,Adult,Other,West,Mumbai,Sports,Cycle,7,11542.97,0.16,Medium,97177.38,25%,24424.83,53.27,EMI,1,TRUE,Returned,7
ORD-00101,02/08/2020,2020,Q3,August,Sunday,CUST45487,Sunita Joshi,34,Young Adult,Other,West,Pune,Books,Cook Book,8,1325.02,0.09,Low,8717.89,37%,3265.49,41.67,Debit Card,2,FALSE,Cancelled,5
ORD-03804,07/12/2024,2024,Q4,December,Saturday,CUST42902,Rahul Kumar,5,Child & Teen,Other,South,Hyderabad,Groceries,Sugar,,84.21,0.13,Medium,125.78,7%,8.9,47.91,Cash on Delivery,4,FALSE,Delivered,2
ORD-02873,06/01/2023,2023,Q1,January,Friday,CUST07917,Nikhil Nair,34,Young Adult,Male,East,Guwahati,Sports,Football,6,5611.57,0.2,Medium,37888.42,16%,6107.6,97.42,Credit Card,5,FALSE,Delivered,2
